date;event_type;fission_time;fusion_time;focus_group;group_A;group_B;group_C;direction;comments
2023-01-29;fission;11:36; ;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan, Lula;Mandela;;B <- A;
2023-01-29;fission;11:43;;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan, Lula;Lula;;B <- A;
2023-01-29;fusion;;11:48;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Gillard,Castro, Gandhi, Moscoso, May, Merkel, Khan;Mandela;;B -> A;
2023-01-29;fission;11:52;;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Castro, Gandhi, Moscoso, May, Merkel, Khan, Gillard;Mandela;;A <- B;Gillard GPS wonky, so doesn't move with the group - back to normal at 13:19 ish
2023-01-29;fission;12:02;;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Castro, Gandhi, Moscoso, May, Merkel, Khan, Gillard;Merkel, Kenyatta;;B <- A;Kenyatta GPS started when Merkel joined
2023-01-29;fission;12:23;;sub group (15);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Ardern, Mujica, Cleopatra, Castro, Gandhi, Moscoso, May, Merkel, Khan, Gillard;Ardern;;A <- B;Ardern still foraging at same place
2023-01-29;fusion;;12:27;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Mujica, Cleopatra, Castro, Gandhi, Moscoso, May, Khan, Gillard;Merkel, Kenyatta;;A -> B;
2023-01-29;fission;12:39;;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Mujica, Cleopatra, Castro, Gandhi, Moscoso, May, Khan, Gillard, Merkel, Kenyatta;Ardern;;B -> A;
2023-01-29;fission;12:40;;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Mujica, Cleopatra, Castro, Gandhi, Moscoso, May, Merkel, Khan, Gillard, Ardern;Kenyatta;;B <- A;
2023-01-30;fission;before start;;full group (16); Peron, Obama, Mujica, Cleopatra, Castro, Gandhi, Moscoso, May, Merkel, Khan, Ardern;Truss, Zelenskyy, Meir, Torrijos, Gillard; ;A <=> B;
2023-01-30;fission;11:52;;sub group (11); Peron, Obama, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Ardern;Gandhi;;A <- B;
2023-01-30;fusion;;12:03;sub group (15); Peron, Obama, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Ardern;Truss, Zelenskyy, Meir, Torrijos, Gillard; ;A -> B;
2023-01-30;fission;12:08;;sub group (15);Peron, Obama, Zelenskyy, Truss, Mujica, Cleopatra, Castro, Moscoso, May, Khan, Gillard, Merkel, Ardern;Torrijos, Meir;;A <=> B;
2023-01-30;fusion;;12:12;sub group (15);Peron, Obama, Zelenskyy, Truss, Mujica, Cleopatra, Castro, Moscoso, May, Khan, Gillard, Merkel, Ardern;Torrijos, Meir;;B -> A;
2023-01-30;fusion;;12:17;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Ardern;Gandhi;;B -> A;
